[1] ADD,lLn3fa1FIk,75576.00 
[2] ADD,7UUhSRHInh,94529.05 
[3] ADD,WUsol6wtDm,87738.46 
[4] ADD,KnTBc3qwcr,73952.03 
[5] ADD,9RCeWXbzj9,96894.37 
[6] BUY,9RCeWXbzj9,TGY,692.03 
[7] ADD,HBb0dWvkmH,81650.18 
[8] ADD,n4E566ZogW,74837.72 
[9] ADD,xKgBJKhIlx,79140.22 
[10] ADD,n9qniWnHrs,38784.26 
[11] ADD,hBEPbg75Qp,80180.01 
[12] ADD,F3iruDCI8F,102869.70 
[13] ADD,y5IWeezXEN,74831.27 
[14] ADD,kESyNMCJeA,44598.11 
[15] ADD,AnPcs8yTdQ,79054.85 
[16] ADD,TViJpUe5JR,72037.44 
[17] ADD,e7Zw0RBCl6,80205.43 
[18] ADD,8IA1PUK3hd,73742.71 
[19] ADD,3mEsf51UBo,43717.20 
[20] ADD,HPxIuj9S6A,62213.48 
[21] ADD,2GizxWZj6J,70238.42 
[22] ADD,wYQUhjq8PE,76865.00 
[23] ADD,UuEeoiTzyl,102090.50 
[24] ADD,eGGeSBtfEQ,53788.32 
[25] ADD,9Z89FNPK7B,50356.08 
[26] ADD,NmnabmB6tO,67303.69 
[27] ADD,xETyPXWhj9,56850.01 
[28] ADD,0oVAF91nA3,79144.46 
[29] BUY,TViJpUe5JR,GSW,280.13 
[30] ADD,QXEQWDUSMg,76386.84 
[31] ADD,TRCadzjH8F,81383.21 
[32] ADD,VEusTtq5S7,52553.43 
[33] ADD,69DAEr1YIe,73268.56 
[34] ADD,g3Xh0OB6vf,68223.85 
[35] ADD,aMMzTGXVGg,43383.22 
[36] ADD,LtO7mQU2OX,64705.92 
[37] QUOTE,n9qniWnHrs,YEH 
[38] QUOTE,TRCadzjH8F,SAR 
[39] ADD,JZJCffUI5S,78018.97 
[40] ADD,ZVyQqBS4Yw,77042.62 
[41] QUOTE,hBEPbg75Qp,PJJ 
[42] BUY,kESyNMCJeA,HFS,196.84 
[43] ADD,x8GMbOCXJX,63971.43 
[44] ADD,CetaglZj6n,60419.65 
[45] SET_BUY_TRIGGER,69DAEr1YIe,AHO,88.50 
[46] ADD,U4jQmk30QS,86687.09 
[47] ADD,unNg5XYq8A,55953.24 
[48] ADD,FOsYiQU5Qk,72884.59 
[49] ADD,km22Ao7dfo,69757.94 
[50] ADD,qE6dGnwk51,50924.98 
[51] ADD,t56BLlGu3K,46692.99 
[52] ADD,hrINHOrbWw,100431.52 
[53] QUOTE,AnPcs8yTdQ,MOM 
[54] ADD,e6JAmPjBmb,64837.51 
[55] ADD,oAd3QaqYgz,97860.18 
[56] QUOTE,km22Ao7dfo,WZM 
[57] ADD,nV1jqGc3b6,70407.89 
[58] BUY,VEusTtq5S7,ZYR,431.20 
[59] ADD,dALWhJa374,26637.85 
[60] ADD,HGsodwsfKO,62261.42 
[61] QUOTE,hrINHOrbWw,BBD 
[62] ADD,p876fU7BEx,69684.38 
[63] ADD,REUXfFUthD,73532.17 
[64] ADD,YBTGw9v3Cl,92687.90 
[65] ADD,kryOHlcACM,69868.50 
[66] ADD,ugupCCzmJf,71168.47 
[67] QUOTE,g3Xh0OB6vf,DPG 
[68] COMMIT_BUY,oAd3QaqYgz 
[69] ADD,BOvGL2MRxg,83682.38 
[70] ADD,HBbyhPrKJi,83795.16 
[71] ADD,XeYo2ezKey,68257.18 
[72] SET_SELL_TRIGGER,REUXfFUthD,YAZ,153.06 
[73] SET_BUY_TRIGGER,LtO7mQU2OX,ESN,33.20 
[74] QUOTE,HBb0dWvkmH,JFJ 
[75] QUOTE,HGsodwsfKO,KJD 
[76] ADD,vRUafgIjuV,104692.95 
[77] DISPLAY_SUMMARY,KnTBc3qwcr 
[78] BUY,8IA1PUK3hd,GGI,233.87 
[79] ADD,Z5Z6RJO7ho,85370.45 
[80] ADD,LX1FeVjg6k,58456.18 
[81] COMMIT_BUY,9RCeWXbzj9 
[82] CANCEL_SELL,wYQUhjq8PE 
[83] QUOTE,eGGeSBtfEQ,TGY 
[84] ADD,vmBnGlfW5S,37500.32 
[85] QUOTE,FOsYiQU5Qk,FZU 
[86] QUOTE,x8GMbOCXJX,WKL 
[87] ADD,AwEXQhdKGW,84874.28 
[88] BUY,ugupCCzmJf,YDD,474.71 
[89] ADD,FLeNlw500v,70440.20 
[90] ADD,kcrL7pVjFP,67187.33 
[91] ADD,4vBuSX8YYJ,79340.05 
[92] COMMIT_BUY,ugupCCzmJf 
[93] ADD,uzApK6tlMI,71463.80 
[94] BUY,e7Zw0RBCl6,UXP,660.60 
[95] SELL,oAd3QaqYgz,PFN,424.31 
[96] COMMIT_BUY,e7Zw0RBCl6 
[97] BUY,3mEsf51UBo,CMA,74.32 
[98] QUOTE,g3Xh0OB6vf,IFU 
[99] QUOTE,9Z89FNPK7B,KGV 
[100] ADD,28VL4WCD6l,58625.14 
[101] ADD,2xvOQRaMMK,33291.44 
[102] QUOTE,y5IWeezXEN,BMQ 
[103] BUY,unNg5XYq8A,CBX,184.16 
[104] ADD,xRR8b3q6bp,39668.61 
[105] BUY,km22Ao7dfo,AXK,558.33 
[106] QUOTE,YBTGw9v3Cl,MWM 
[107] QUOTE,BOvGL2MRxg,BEG 
[108] BUY,0oVAF91nA3,FUF,92.26 
[109] BUY,LtO7mQU2OX,MKE,412.68 
[110] BUY,n4E566ZogW,IQJ,25.54 
[111] ADD,eGGeSBtfEQ,90590.05 
[112] QUOTE,28VL4WCD6l,CUQ 
[113] ADD,NcGvD9d4mj,88082.66 
[114] CANCEL_SET_SELL,3mEsf51UBo,PVH 
[115] SET_SELL_AMOUNT,AnPcs8yTdQ,FIY,98.16 
[116] ADD,etWfSg2zBt,64739.62 
[117] SET_SELL_AMOUNT,XeYo2ezKey,RVZ,283.12 
[118] ADD,XwKSBoZ6lO,73378.95 
[119] SET_SELL_TRIGGER,e6JAmPjBmb,BPP,33.38 
[120] CANCEL_BUY,BOvGL2MRxg 
[121] BUY,etWfSg2zBt,OOR,692.40 
[122] ADD,8pCSyzEP5L,80601.28 
[123] BUY,Z5Z6RJO7ho,FPI,244.83 
[124] QUOTE,7UUhSRHInh,FQR 
[125] ADD,8xgyjkdphP,60498.96 
[126] QUOTE,CetaglZj6n,AVX 
[127] SET_SELL_AMOUNT,nV1jqGc3b6,XOL,427.31 
[128] QUOTE,p876fU7BEx,WRN 
[129] ADD,akVcdarOA3,55139.92 
[130] QUOTE,XwKSBoZ6lO,URY 
[131] SELL,unNg5XYq8A,IBT,25.13 
[132] ADD,Rq5xFLYt6l,89274.02 
[133] SET_SELL_AMOUNT,0oVAF91nA3,ZYF,600.72 
[134] ADD,UUcfl1X3U9,80539.46 
[135] ADD,kMcjEkmbDd,59125.79 
[136] QUOTE,JZJCffUI5S,CXC 
[137] ADD,hPnf9OsmbW,69908.07 
[138] ADD,F0mQHf8fev,74252.25 
[139] BUY,LX1FeVjg6k,XME,676.78 
[140] QUOTE,8pCSyzEP5L,HEJ 
[141] BUY,HGsodwsfKO,XPX,550.63 
[142] SET_SELL_TRIGGER,9RCeWXbzj9,NXF,50.67 
[143] SET_SELL_TRIGGER,XeYo2ezKey,RVZ,17.57 
[144] BUY,xETyPXWhj9,MOM,642.08 
[145] QUOTE,kESyNMCJeA,ECI 
[146] BUY,t56BLlGu3K,WKE,373.40 
[147] ADD,pIkIgs3Y8E,65033.99 
[148] BUY,NcGvD9d4mj,GYT,346.96 
[149] COMMIT_SELL,hrINHOrbWw 
[150] BUY,x8GMbOCXJX,YBP,358.11 
[151] COMMIT_BUY,HGsodwsfKO 
[152] ADD,cehNQrvm7R,82398.33 
[153] SET_SELL_TRIGGER,ugupCCzmJf,SYE,79.22 
[154] QUOTE,kESyNMCJeA,SSF 
[155] SELL,TViJpUe5JR,NFO,110.92 
[156] QUOTE,qE6dGnwk51,WCY 
[157] COMMIT_BUY,NcGvD9d4mj 
[158] ADD,mR1GL8In4q,76336.49 
[159] SELL,kryOHlcACM,PCK,20.15 
[160] ADD,xka9Jdr7ac,85039.82 
[161] SET_BUY_TRIGGER,VEusTtq5S7,UBJ,81.09 
[162] ADD,gou39c5KlQ,59853.64 
[163] ADD,D6zA2CRl22,84102.17 
[164] COMMIT_BUY,xRR8b3q6bp 
[165] QUOTE,8xgyjkdphP,LVV 
[166] DISPLAY_SUMMARY,kESyNMCJeA 
[167] QUOTE,JZJCffUI5S,FYA 
[168] BUY,nV1jqGc3b6,UUJ,380.09 
[169] SET_BUY_AMOUNT,HBb0dWvkmH,OAV,190.29 
[170] BUY,AwEXQhdKGW,PTC,450.36 
[171] QUOTE,mR1GL8In4q,JUG 
[172] BUY,UUcfl1X3U9,CXC,185.66 
[173] CANCEL_SELL,BOvGL2MRxg 
[174] ADD,FjKEXA3hdZ,66541.76 
[175] CANCEL_BUY,km22Ao7dfo 
[176] BUY,kESyNMCJeA,WBL,707.71 
[177] QUOTE,lLn3fa1FIk,YQC 
[178] QUOTE,WUsol6wtDm,ZZN 
[179] BUY,cehNQrvm7R,ZNY,513.60 
[180] CANCEL_SELL,xka9Jdr7ac 
[181] CANCEL_SET_SELL,xka9Jdr7ac,OEN 
[182] COMMIT_SELL,unNg5XYq8A 
[183] SET_BUY_TRIGGER,wYQUhjq8PE,MIR,115.14 
[184] QUOTE,hPnf9OsmbW,BEG 
[185] CANCEL_BUY,lLn3fa1FIk 
[186] ADD,OO6PWyjuYk,66650.27 
