[1] ADD,kHMjwfSx2P,63511.53 
[2] ADD,e6Ql5cbsux,45016.23 
[3] ADD,PDwyOp2gzv,71879.98 
[4] ADD,LHA4yFlv3r,74315.15 
[5] ADD,ItaC6MIk2c,52802.93 
[6] ADD,L3qfH51ukK,87863.73 
[7] ADD,mMQlpMeOfD,87837.46 
[8] QUOTE,L3qfH51ukK,XYC 
[9] ADD,Kt8I7sdBcS,69435.50 
[10] ADD,whcYxtH67L,74909.39 
[11] ADD,E5CusuUGY3,72619.59 
[12] ADD,wMcCWGxtZb,67199.37 
[13] ADD,JPE6oMVt1b,80886.86 
[14] ADD,E9DHfAjHfd,61175.25 
[15] ADD,R4lbhHC1hS,102747.79 
[16] ADD,13VC8b11Q6,67954.06 
[17] ADD,IkWXoni8ti,71708.97 
[18] ADD,zVGmOyE2TY,86001.52 
[19] ADD,Z14JubX5Uv,70889.22 
[20] ADD,Js6LySzcEQ,68565.27 
[21] SET_BUY_TRIGGER,zVGmOyE2TY,UUG,39.84 
[22] ADD,QPKBykFnxr,57514.76 
[23] CANCEL_BUY,Z14JubX5Uv 
[24] ADD,CvCH8jPh2i,74416.16 
[25] ADD,mZFoN64osd,49957.27 
[26] BUY,CvCH8jPh2i,NQP,36.73 
[27] ADD,pTZZjie7eX,80714.87 
[28] ADD,yAAurFarHT,94353.43 
[29] BUY,kHMjwfSx2P,QDU,352.83 
[30] COMMIT_BUY,kHMjwfSx2P 
[31] QUOTE,QPKBykFnxr,PXD 
[32] QUOTE,R4lbhHC1hS,SFY 
[33] BUY,ItaC6MIk2c,YUI,634.76 
[34] ADD,h0Ib8LzTs9,59623.36 
[35] ADD,BxWlges22v,82869.95 
[36] QUOTE,LHA4yFlv3r,PMO 
[37] ADD,qEVRIEnox8,88810.02 
[38] BUY,yAAurFarHT,QTG,549.29 
[39] ADD,qkUYmnHXvb,46094.06 
[40] SET_BUY_TRIGGER,qkUYmnHXvb,SUN,13.53 
[41] QUOTE,mMQlpMeOfD,ACY 
[42] QUOTE,E5CusuUGY3,TWQ 
[43] QUOTE,PDwyOp2gzv,HJE 
[44] QUOTE,mMQlpMeOfD,JLX 
[45] BUY,JPE6oMVt1b,TKB,545.19 
[46] ADD,TMxB3eAn63,48385.53 
[47] SET_SELL_TRIGGER,mZFoN64osd,GGV,186.33 
[48] COMMIT_BUY,CvCH8jPh2i 
[49] QUOTE,IkWXoni8ti,MFG 
[50] ADD,qoExOgAPyd,78567.21 
[51] ADD,RtgbNlNQ82,64001.72 
[52] SET_BUY_TRIGGER,R4lbhHC1hS,VAL,178.98 
[53] ADD,CxzX2w8DmS,80349.96 
[54] BUY,kHMjwfSx2P,ABQ,415.03 
[55] DISPLAY_SUMMARY,CvCH8jPh2i 
[56] QUOTE,LHA4yFlv3r,SFY 
[57] ADD,tK1JNuy0li,82234.33 
[58] BUY,wMcCWGxtZb,ABQ,497.30 
[59] BUY,Kt8I7sdBcS,YZB,1.75 
[60] SET_SELL_AMOUNT,e6Ql5cbsux,NAI,662.37 
[61] CANCEL_BUY,Kt8I7sdBcS 
[62] CANCEL_BUY,qkUYmnHXvb 
[63] ADD,NmALn2RmzI,80678.62 
[64] QUOTE,tK1JNuy0li,GWE 
[65] QUOTE,BxWlges22v,VOT 
[66] SET_BUY_AMOUNT,kHMjwfSx2P,BMJ,201.74 
[67] ADD,izXvHOmJ6Y,89353.75 
[68] SET_BUY_AMOUNT,PDwyOp2gzv,QDU,406.29 
[69] ADD,YIgPFTE1M7,80029.01 
[70] QUOTE,13VC8b11Q6,IFV 
[71] QUOTE,h0Ib8LzTs9,PZL 
[72] BUY,izXvHOmJ6Y,IKA,425.39 
[73] ADD,r9sY6ykQwB,87862.57 
[74] SET_BUY_TRIGGER,CvCH8jPh2i,ZRU,52.20 
[75] COMMIT_BUY,ItaC6MIk2c 
[76] SET_SELL_TRIGGER,e6Ql5cbsux,NAI,607.68 
[77] BUY,Kt8I7sdBcS,MOE,451.37 
[78] SET_SELL_TRIGGER,ItaC6MIk2c,PXD,45.06 
[79] BUY,mZFoN64osd,ZJI,133.74 
[80] COMMIT_BUY,mZFoN64osd 
[81] ADD,YET2WF8iGL,51963.14 
[82] QUOTE,NmALn2RmzI,KME 
[83] COMMIT_BUY,JPE6oMVt1b 
[84] BUY,Js6LySzcEQ,PGD,168.05 
[85] SELL,ItaC6MIk2c,BMJ,438.59 
[86] CANCEL_SELL,zVGmOyE2TY 
[87] BUY,E5CusuUGY3,CNC,522.67 
[88] DISPLAY_SUMMARY,JPE6oMVt1b 
[89] BUY,13VC8b11Q6,YYX,48.00 
[90] SELL,13VC8b11Q6,KLF,291.22 
[91] DISPLAY_SUMMARY,e6Ql5cbsux 
[92] QUOTE,kHMjwfSx2P,HJE 
[93] BUY,whcYxtH67L,GGV,647.90 
[94] ADD,pz8HIUVPXH,69703.16 
[95] ADD,BDty3gMxBy,67649.24 
[96] QUOTE,qoExOgAPyd,BXC 
[97] SET_SELL_AMOUNT,wMcCWGxtZb,ABQ,299.29 
[98] COMMIT_SELL,ItaC6MIk2c 
[99] ADD,7nGIkyoUrD,45938.72 
[100] SET_BUY_TRIGGER,tK1JNuy0li,TWQ,191.67 
[101] SET_SELL_TRIGGER,wMcCWGxtZb,ABQ,79.14 
[102] ADD,La1eSbNL6p,73859.56 
[103] SET_SELL_AMOUNT,pz8HIUVPXH,NAI,153.78 
[104] SELL,mZFoN64osd,BMJ,187.42 
[105] SET_SELL_TRIGGER,IkWXoni8ti,ODH,110.25 
[106] SELL,tK1JNuy0li,MFC,458.75 
[107] DISPLAY_SUMMARY,yAAurFarHT 
[108] CANCEL_BUY,izXvHOmJ6Y 
[109] CANCEL_BUY,qkUYmnHXvb 
[110] COMMIT_BUY,R4lbhHC1hS 
[111] ADD,bfIjLoap9T,54152.91 
[112] BUY,bfIjLoap9T,QTG,604.51 
[113] BUY,JPE6oMVt1b,SBK,226.08 
[114] ADD,jK70t6xffU,91227.12 
[115] SELL,Kt8I7sdBcS,STS,341.17 
[116] QUOTE,TMxB3eAn63,RDD 
[117] QUOTE,mMQlpMeOfD,ACY 
[118] SET_SELL_TRIGGER,pz8HIUVPXH,NAI,91.57 
[119] COMMIT_SELL,BDty3gMxBy 
[120] BUY,BxWlges22v,HMX,353.61 
[121] CANCEL_SET_SELL,yAAurFarHT,MFG 
[122] SELL,yAAurFarHT,CHG,603.73 
[123] COMMIT_SELL,Kt8I7sdBcS 
[124] QUOTE,E9DHfAjHfd,NOE 
[125] BUY,Kt8I7sdBcS,GGR,276.40 
[126] CANCEL_SELL,izXvHOmJ6Y 
[127] QUOTE,7nGIkyoUrD,YZB 
[128] COMMIT_BUY,BDty3gMxBy 
[129] COMMIT_SELL,tK1JNuy0li 
